"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Saint Lucia,"30,028",,409                                ,,"29,095",,524,,"162,214","2,209","210,983","1,139,752","185,113 ",North America,6,453,1,,,"2,831"
Benin,"27,999",,163                                ,,"27,830",,6,,"2,190",13,"604,310","47,268","12,784,726 ",Africa,457,"78,434",21,,,0.5
Somalia,"27,334",,"1,361                                ",,"13,182",,"12,791",,"1,623",81,"400,466","23,778","16,841,795 ",Africa,616,"12,375",42,,,759
Micronesia,"25,929",+226,65                                ,+2,N/A,N/A,N/A,1,"220,693",553,"80,318","683,621","117,489 ",Australia/Oceania,5,"1,808",1,"1,924",17,"157,010"
Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805 ",Africa,228,"15,020",17,,,170
Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,,"721,159 ",Australia/Oceania,29,"4,713",,,,"11,183"
San Marino,"23,849",,123                                ,,"23,689",,37,4,"699,692","3,609","196,855","5,775,414","34,085 ",Europe,1,277,0,,,"1,086"
Timor-Leste,"23,423",,138                                ,,"23,102",,183,,"17,104",101,"278,529","203,391","1,369,429 ",Asia,58,"9,923",5,,,134
Burkina Faso,"22,056",,396                                ,,"21,596",,64,,998,18,"248,995","11,265","22,102,838 ",Africa,"1,002","55,815",89,,,3
Liechtenstein,"21,437",,91                                ,,"21,345",,1,,"558,444","2,371","112,457","2,929,559","38,387 ",Europe,2,422,0,,,26
Gibraltar,"20,550",,113                                ,,"16,579",,"3,858",,"609,720","3,353","534,283","15,852,213","33,704 ",Europe,2,298,0,,,"114,467"
Grenada,"19,683",,238                                ,,"19,358",,87,4,"173,457","2,097","182,981","1,612,523","113,475 ",North America,6,477,1,,,767
Bermuda,"18,860",,165                                ,,"18,685",,10,,"304,493","2,664","1,029,558","16,622,128","61,939 ",North America,3,375,0,,,161
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,,"6,779,100 ",North America,367,"30,129",,,,"2,071"
South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511 ",Africa,633,"84,192",28,,,10
Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,,"9,957,464 ",Asia,560,"79,660",,,,40
Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662 ",Africa,87,"8,178",4,,,93
Tonga,"16,814",,13                                ,,"15,638",,"1,163",,"156,048",121,"535,009","4,965,327","107,749 ",Australia/Oceania,6,"8,288",0,,,"10,794"
Samoa,"16,737",,31                                ,,"1,605",,"15,101",,"82,759",153,"187,397","926,612","202,239 ",Australia/Oceania,12,"6,524",1,,,"74,669"
Monaco,"16,178",,67                                ,,"15,992",,119,4,"406,656","1,684","78,646","1,976,875","39,783 ",Europe,2,594,1,,,"2,991"
Marshall Islands,"16,081",,17                                ,,"15,954",,110,,"267,762",283,,,"60,057 ",Australia/Oceania,4,"3,533",,,,"1,832"
Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344 ",North America,5,978,0,,,180
Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097 ",Africa,65,"5,376",3,,,73
CAR,"15,368",,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678 ",Africa,326,"44,395",62,,,11
Gambia,"12,598",,372                                ,,"12,189",,37,,"4,924",145,"155,686","60,851","2,558,482 ",Africa,203,"6,878",16,,,14
Saint Martin,"12,280",,63                                ,,"1,399",,"10,818",7,"309,086","1,586","112,382","2,828,643","39,730 ",North America,3,631,0,,,"272,288"
Vanuatu,"12,014",,14                                ,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832 ",Australia/Oceania,27,"22,988",13,,,75
Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973 ",North America,5,"2,713",0,,,"161,287"
Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867 ",Asia,"2,608","14,430",95,,,21
Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647 ",North America,2,701,1,,,"43,832"
Sint Maarten,"11,030",,92                                ,,"10,905",,33,N/A,"250,876","2,093","62,056","1,411,454","43,966 ",North America,4,478,1,,,751
Eritrea,"10,189",,103                                ,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244 ",Africa,359,"35,556",155,,,
Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660 ",Africa,"2,626","83,601",102,,,28
St. Vincent Grenadines,"9,601",,124                                ,,"9,472",,5,,"86,068","1,112","113,886","1,020,932","111,551 ",North America,12,900,1,,,45
Guinea-Bissau,"9,350",,176                                ,,"8,929",,245,6,"4,531",85,"145,231","70,385","2,063,367 ",Africa,221,"11,724",14,,,119
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509 ",North America,11,682,5,,,60
Comoros,"9,089",,161                                ,,"8,885",,43,,"10,016",177,,,"907,419 ",Africa,100,"5,636",,,,47
Liberia,"8,090",,295                                ,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117 ",Africa,656,"17,983",38,,,2
Sierra Leone,"7,762",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436 ",Africa,"1,070","65,924",32,,,330
Chad,"7,695",,194                                ,,"4,874",,"2,627",,442,11,"191,341","10,988","17,413,580 ",Africa,"2,263","89,761",91,,,151
British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596 ",North America,4,478,0,,,392
Cook Islands,"7,050",,2                                ,,"7,038",,10,,"401,229",114,"19,690","1,120,596","17,571 ",Australia/Oceania,2,"8,786",1,,,569
Saint Kitts and Nevis,"6,598",,48                                ,,"6,549",,1,,"122,478",891,"126,936","2,356,296","53,871 ",North America,8,"1,122",0,,,19
Turks and Caicos,"6,565",,38                                ,,"6,509",,18,4,"165,195",956,"612,335","15,408,143","39,741 ",North America,6,"1,046",0,,,453
Sao Tome and Principe,"6,500",,79                                ,,"6,358",,63,,"28,549",347,"29,036","127,530","227,679 ",Africa,35,"2,882",8,,,277
Palau,"5,997",,9                                ,,"5,988",,0,,"328,909",494,"69,452","3,809,137","18,233 ",Australia/Oceania,3,"2,026",0,,,
St. Barth,"5,478",,6                                ,,N/A,N/A,N/A,,"550,830",603,"78,646","7,908,095","9,945 ",North America,2,"1,658",0,,,"503,771"
Nauru,"5,393",,1                                ,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903 ",Australia/Oceania,2,"10,903",1,,,"4,127"
Kiribati,"5,014",,18                                ,,"2,703",,"2,293",3,"40,626",146,,,"123,419 ",Australia/Oceania,25,"6,857",,,,"18,579"
Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230 ",North America,4,"1,269",0,,,854
Macao,"3,515",,121                                ,,"3,393",,1,,"5,266",181,"7,850","11,760","667,490 ",Asia,190,"5,516",85,,,1
Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759 ",North America,2,"2,880",0,,,"173,815"
Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982 ",Australia/Oceania,3,"1,569",1,,,"271,535"
Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,4,,,,,"232,471"
MS Zaandam,9,,2                                ,,7,,0,,,,,, ,,,,,,,
Tokelau,5,, ,,,,5,,"3,628",,,,"1,378 ",Australia/Oceania,276,,,,,"3,628"
China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,"2,878","274,748",9,,,82
Total:,"125,871,582","+2,425","1,624,439",+18,"121,526,377","+20,717","2,720,766","6,945",,,,,,North America, ,,,,,
Total:,"215,732,392","+10,514","1,542,149",+43,"200,062,671","+7,466","14,127,572","15,510",,,,,,Asia, ,,,,,
Total:,"248,145,835","+15,979","2,032,941",+85,"243,872,164","+43,738","2,240,730","6,397",,,,,,Europe, ,,,,,
Total:,"68,405,286",+625,"1,352,990",,"66,423,582",,"628,714","10,170",,,,,,South America, ,,,,,
Total:,"14,043,828",+226,"26,794",+2,"13,866,531",+0,"150,503",73,,,,,,Australia/Oceania, ,,,,,
Total:,"12,813,904",+54,"258,672",,"12,081,517",,"473,715",548,,,,,,Africa, ,,,,,
Total:,721,,15,,706,,0,0,,,,,,, ,,,,,
Total:,"685,013,548","+29,823","6,838,000",+148,"657,833,548","+72,755","20,342,000","39,643","87,880.9",877.3,,,,All,"
",,,,,
